Member,Link to profile,Current level,Total time on level (months),Total time as member (months),Last update,Last update timestamp,Price version timestamp,Price
mjspe77,https://www.youtube.com/channel/UCeSq_jZUi5zKUyWkKLHl7CQ,Membro VIP,7,7,Re-joined,2026-06-07T23:41:36.138-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Jusé50,https://www.youtube.com/channel/UCuJBb7sNMDluEml0tPMi11Q,Membro VIP,2,2,Re-joined,2026-06-07T20:53:28.707-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Mickey,https://www.youtube.com/channel/UCTQ8xcY1YjNY78qNWxMR6Ag,Membro VIP,0,0,Joined,2026-06-07T17:43:54.122-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
João Vitor Muniz Vasconcelos,https://www.youtube.com/channel/UCUp11DpiajIDTDfgtot4GxA,Colecionador de Selos,1.03333,1.03333,Re-joined,2026-06-07T15:57:09.291-07:00,2022-08-20T12:49:12.662044037-07:00,R$2.99
Selev,https://www.youtube.com/channel/UCgcCPPLhyX2Fkf_3egjJ8bw,Membro VIP,2.03333,2.03333,Re-joined,2026-06-07T11:57:01.645-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Nikola Tesla ,https://www.youtube.com/channel/UCqRDrycIpRyE_bzessrNjpw,Membro VIP,0.0333333,0.0333333,Joined,2026-06-07T07:15:26.43-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Gustavo Pereira,https://www.youtube.com/channel/UC58MMolDe5Uo0CJJe-leZQQ,Membro VIP,0.0333333,0.0333333,Joined,2026-06-07T06:59:46.059-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Babuino Alado Kaike,https://www.youtube.com/channel/UC5fhS0G9QScw2x4ED9Ce65Q,Colecionador de Selos,0.0333333,0.0333333,Joined,2026-06-07T06:45:35.885-07:00,2026-05-01T13:56:52.87304297-07:00,R$3.99
Pedro Sousa,https://www.youtube.com/channel/UC-jJ32modjS7aOmYSrfon7w,Membro VIP,2.03333,2.03333,Re-joined,2026-06-06T20:13:04.443-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
ART GAMES,https://www.youtube.com/channel/UCEloBQ7HMO94OzeSQoPK1dg,Membro VIP,0.0666667,0.0666667,Joined,2026-06-06T15:47:05.928-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Theo Gonçalves Borges Oliveira,https://www.youtube.com/channel/UCk2ZOXwFbG2yLf-wwpsP2uw,Membro VIP,2.06667,2.06667,Re-joined,2026-06-06T14:42:55.481-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Guilherme,https://www.youtube.com/channel/UCePctPTLtIpwXCPe9Z4qk6g,Membro VIP,0.0666667,0.0666667,Joined,2026-06-06T12:12:02.228-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
simsouwinjo,https://www.youtube.com/channel/UCcuKiinOOkNwdMMyBO-Pgew,Membro VIP,3.06667,3.06667,Re-joined,2026-06-06T09:17:08.41-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Ninguém,https://www.youtube.com/channel/UCo-Aw6twGUPIonBrvSIj2jg,Membro VIP,0.0666667,0.0666667,Joined,2026-06-06T08:08:03.31-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
cicada3302,https://www.youtube.com/channel/UCpjT4wi7FRmi9SPeiok_PHQ,Membro VIP,0.0666667,0.0666667,Upgraded,2026-06-06T06:24:36.751-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
David Young bok nadeau Pereira,https://www.youtube.com/channel/UCZ7igs2kTumds_FKuvpmVuQ,Membro VIP,7.06667,7.06667,Re-joined,2026-06-06T04:09:21.823-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Léo memes,https://www.youtube.com/channel/UCaKuBTd2s0JXmTiqigHUdDg,Membro VIP,7.06667,7.06667,Re-joined,2026-06-06T03:15:24.6-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Arther,https://www.youtube.com/channel/UCgPjQxwXgE5GL9dfVj9mJyg,Membro VIP,4.08387,4.55054,Re-joined,2026-06-06T02:38:47.561-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
_.𝑃𝐻._,https://www.youtube.com/channel/UCZnDP7NAUzN9UNU0IYAfyJA,Membro VIP,7.06667,7.06667,Re-joined,2026-06-05T21:22:30.786-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Ronyck,https://www.youtube.com/channel/UCopLKHDqdhdVWKvMl7KPivg,Membro VIP,0.0666667,0.0666667,Joined,2026-06-05T19:25:58.563-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
henry eduardo,https://www.youtube.com/channel/UCJm7wAGghLGLyK626UHD_AA,Membro VIP,2.06667,2.06667,Re-joined,2026-06-05T19:01:00.869-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
João Pedroso,https://www.youtube.com/channel/UC-gYETlPiGFJ2-jjmddTwDA,Membro VIP,0.1,0.1,Joined,2026-06-05T16:36:07.639-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Leondo Drive 2,https://www.youtube.com/channel/UC4DUXjyrDdZHymx9_lQz1ow,Membro VIP,0.1,0.1,Joined,2026-06-05T15:15:03.745-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Guilherme Dias,https://www.youtube.com/channel/UCgUyLS7NJGpJ9gFVgILzwPg,Membro VIP,1.1,1.1,Re-joined,2026-06-05T12:46:53.506-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
GREENSKULL,https://www.youtube.com/channel/UCJU8ac-zKfTezacDAu9-L-w,Membro VIP,3.1,3.1,Re-joined,2026-06-05T10:29:49.87-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
WENDELL GD,https://www.youtube.com/channel/UCGecbyphJizbGXnIrQl5TcA,Membro VIP,0.1,0.1,Upgraded,2026-06-05T09:26:18.174-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Milk Pudding,https://www.youtube.com/channel/UCDUguAeC-nPssMEZp-5lM0g,Membro VIP,6.1,6.1,Re-joined,2026-06-05T08:37:18.572-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Bernardo Martins,https://www.youtube.com/channel/UCEhZjVL5uTf8KF77jCwZjkg,Membro VIP,0.1,0.1,Upgraded,2026-06-05T07:07:36.998-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Alekzin,https://www.youtube.com/channel/UCnlqCLNGQo5yLjhz26lMFUQ,Membro VIP,0.1,0.1,Joined,2026-06-05T06:35:21.029-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
SkiperGMC,https://www.youtube.com/channel/UCkdq0HY91mYFnN7_wyTtocg,Membro VIP,0.1,0.1,Joined,2026-06-05T05:29:00.865-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
luiscomz,https://www.youtube.com/channel/UC64o9PDaI_Jpjg39HDMhwUw,Membro VIP,2.13333,2.13333,Re-joined,2026-06-04T14:24:50.028-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Luis Gustavo,https://www.youtube.com/channel/UCFE0Z8cGDIGDn3hYnUvEJiw,Membro VIP,6.13333,6.13333,Re-joined,2026-06-04T00:54:35.518-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Tonyzz,https://www.youtube.com/channel/UC233uInAuQJqOJ8NUTkCImA,Membro VIP,2.13333,2.13333,Re-joined,2026-06-03T17:54:41.963-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Pyetro Mammoccio Ferreira,https://www.youtube.com/channel/UC_k6NWwKAHTuLUIGIoVqwow,Membro VIP,1.16667,1.16667,Re-joined,2026-06-03T16:46:19.445-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Ber,https://www.youtube.com/channel/UCHzohLIbd5G5dtir_SfqMYQ,Membro VIP,0.166667,0.166667,Joined,2026-06-03T14:44:08.029-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Wesley (we ley),https://www.youtube.com/channel/UCm7s68CGK33TMUh2w-o1sDA,Membro VIP,1.16667,1.16667,Re-joined,2026-06-03T14:05:19.902-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Shadow Dragon God,https://www.youtube.com/channel/UC1zFhEKTkEB3FpnzcM55Q5A,MEMBRO SUPREMO,5.16667,5.16667,Re-joined,2026-06-03T13:20:41.905-07:00,2026-05-01T13:56:52.87304297-07:00,R$399.99
Gabriel de Freitas,https://www.youtube.com/channel/UCRXNF_S9bgMGSKt4w1eMsTA,Membro VIP,0.166667,0.166667,Joined,2026-06-03T09:03:37.186-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Anne 123,https://www.youtube.com/channel/UC1reVeuZHA9gqw1wHXIhj1g,Membro VIP,1.16667,1.16667,Re-joined,2026-06-03T07:30:14.873-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Lucas Carvalhais,https://www.youtube.com/channel/UCRP72FMyhC_IadTtx9VPr_Q,Membro VIP,0.166667,0.166667,Joined,2026-06-03T04:32:45.567-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Nicolas Medeiros,https://www.youtube.com/channel/UCe73TsezhAOIRJa8ZKeyGCg,Membro VIP,1.16667,1.16667,Re-joined,2026-06-03T00:49:51.686-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Raumi Niji,https://www.youtube.com/channel/UC8qKzzoa4TTrp7n19nMb-Ew,Membro VIP,1.2,1.2,Re-joined,2026-06-02T16:31:17.22-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Isaac Games,https://www.youtube.com/channel/UCwQ9GJ-CS0EKpvjFN_nWfUw,Membro VIP,0.2,0.2,Re-joined,2026-06-02T10:26:30.053-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
